Generación,Mejor Individuo,Valor de la Función Objetivo
359,[14.2365618  26.69723537],376.43058266244554
360,[14.2365618  26.69723537],376.43058266244554
361,[14.2365618  26.69723537],376.43058266244554
362,[14.2365618  26.69723537],376.43058266244554
363,[14.2365618  26.69723537],376.43058266244554
364,[14.2365618  26.69723537],376.43058266244554
365,[14.2365618  26.69723537],376.43058266244554
366,[14.2365618  26.69723537],376.43058266244554
367,[14.2365618  26.69723537],376.43058266244554
368,[14.2365618  26.69723537],376.43058266244554
369,[14.2365618  26.69723537],376.43058266244554
370,[14.2365618  26.69723537],376.43058266244554
371,[14.2365618  26.69723537],376.43058266244554
372,[14.2365618  26.69723537],376.43058266244554
373,[14.2365618  26.69723537],376.43058266244554
374,[14.2365618  26.69723537],376.43058266244554
375,[14.2365618  26.69723537],376.43058266244554
376,[14.2365618  26.69723537],376.43058266244554
377,[14.2365618  26.69723537],376.43058266244554
378,[14.2365618  26.69723537],376.43058266244554
379,[14.2365618  26.69723537],376.43058266244554
380,[14.2365618  26.69723537],376.43058266244554
381,[14.2365618  26.69723537],376.43058266244554
382,[14.2365618  26.69723537],376.43058266244554
383,[14.2365618  26.69723537],376.43058266244554
384,[14.2365618  26.69723537],376.43058266244554
385,[14.2365618  26.69723537],376.43058266244554
386,[14.2365618  26.69723537],376.43058266244554
387,[14.2365618  26.69723537],376.43058266244554
388,[14.2365618  26.69723537],376.43058266244554
389,[14.2365618  26.69723537],376.43058266244554
390,[14.2365618  26.69723537],376.43058266244554
391,[14.2365618  26.69723537],376.43058266244554
392,[14.2365618  26.69723537],376.43058266244554
393,[14.2365618  26.69723537],376.43058266244554
394,[14.2365618  26.69723537],376.43058266244554
395,[14.2365618  26.69723537],376.43058266244554
396,[14.2365618  26.69723537],376.43058266244554
397,[14.2365618  26.69723537],376.43058266244554
398,[14.2365618  26.69723537],376.43058266244554
399,[14.2365618  26.69723537],376.43058266244554
400,[14.2365618  26.69723537],376.43058266244554
401,[14.2365618  26.69723537],376.43058266244554
402,[14.2365618  26.69723537],376.43058266244554
403,[14.2365618  26.69723537],376.43058266244554
404,[14.2365618  26.69723537],376.43058266244554
405,[14.2365618  26.69723537],376.43058266244554
406,[14.2365618  26.69723537],376.43058266244554
407,[14.2365618  26.69723537],376.43058266244554
408,[14.2365618  26.69723537],376.43058266244554
